time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
19133,-0.57,0.57,-1.26,-0.34,-0.23,1.72,1.72,0.57,2.07,2.64,3.22,0.69,0.34,1.03,5.29,2.18,0
19250,-0.34,0.11,-1.49,-0.69,-0.57,1.72,1.84,0.80,1.72,2.53,3.10,0.46,0.46,1.26,5.63,2.53,0
19367,-0.57,0.34,-1.49,-0.23,-0.34,2.07,1.95,0.69,2.07,2.53,3.10,0.23,0.34,1.26,4.71,1.84,0
19484,-0.57,0.11,-1.61,-0.92,-0.46,1.95,1.95,0.34,1.84,2.64,3.22,0.23,0.69,1.26,5.52,2.41,0
19601,-0.46,0.23,-1.38,-0.11,-0.23,2.07,1.61,0.80,1.61,2.18,2.99,0.69,0.34,0.57,5.06,1.49,0
19717,-0.69,0.23,-1.15,-0.34,0.00,1.95,1.95,0.92,2.07,2.64,3.56,0.46,0.46,0.92,5.06,2.18,0
19834,-0.80,0.80,-2.07,-1.15,-0.80,1.84,1.49,0.92,2.07,2.87,2.99,0.46,0.11,1.15,5.52,2.07,0
19951,-0.11,0.46,-1.49,0.11,-0.34,1.61,1.84,1.26,1.84,2.64,2.87,0.80,0.69,1.03,5.29,1.49,0
20068,-0.23,0.11,-1.72,-0.92,-0.69,1.95,1.38,0.34,2.18,2.76,3.56,0.23,0.34,1.15,5.63,2.07,0
20185,-0.11,0.23,-1.61,-0.34,-0.23,1.84,1.72,1.26,1.84,2.30,2.99,0.46,0.11,1.49,4.60,1.95,0
20301,-0.57,0.46,-1.49,-0.92,-0.57,2.07,1.72,0.92,1.95,2.64,3.45,0.46,0.57,1.61,5.52,1.84,0
20418,-0.57,0.57,-1.72,-0.57,-0.34,1.49,1.49,0.46,2.07,2.87,2.87,0.23,0.00,1.38,5.17,2.41,0
20535,-0.57,0.11,-1.38,-1.03,-0.34,1.95,1.61,1.26,2.07,2.41,2.87,0.23,0.11,0.80,5.06,1.84,0
20652,-0.34,0.34,-1.38,-0.46,-0.11,1.95,1.61,1.03,2.07,2.64,3.45,0.69,0.69,1.38,5.29,2.18,0
20769,-0.46,-0.23,-1.61,-1.03,-0.69,1.95,1.26,0.92,2.18,2.64,2.99,0.57,0.23,1.38,5.52,1.84,0
20885,0.00,0.34,-1.84,-0.11,-0.23,1.84,1.95,0.80,2.30,2.64,3.10,0.11,0.34,1.38,5.17,2.07,0
21002,-0.46,0.11,-1.95,-1.38,-0.46,1.95,1.61,0.46,2.30,2.41,3.10,0.46,0.57,1.26,5.40,1.84,0
21119,-0.69,0.46,-1.49,-0.57,-0.46,1.95,1.49,0.57,2.07,2.76,2.99,-0.11,0.34,1.15,5.17,1.95,0
21236,-0.34,0.34,-1.61,-0.69,-0.46,1.84,1.95,0.69,1.95,2.41,3.33,0.23,0.11,1.15,5.17,1.95,0
21353,-0.46,0.34,-1.61,-0.69,-0.46,2.07,1.72,0.23,1.84,2.76,2.76,0.57,0.34,1.26,4.94,1.72,0
21470,-0.57,0.57,-1.49,-0.23,-0.46,1.95,1.72,0.57,1.95,2.76,3.22,0.23,0.57,1.03,5.17,2.18,0
21586,-0.57,0.23,-1.84,-0.80,-0.23,2.41,1.84,0.46,1.84,2.30,2.87,0.46,0.46,1.38,5.17,1.72,0
