time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
57481,-0.34,0.11,-1.61,-0.92,0.23,1.61,1.61,0.46,2.99,2.41,3.56,0.23,1.38,0.92,4.60,1.72,0
57598,-0.46,-0.11,-1.72,-1.38,0.11,1.61,1.38,0.34,2.64,2.76,3.22,0.34,1.15,0.92,5.17,1.61,0
57715,-0.34,0.00,-1.72,-1.84,0.34,1.49,1.61,0.69,2.53,2.30,3.22,0.11,0.92,0.92,5.17,2.07,0
57832,-0.57,-0.23,-1.49,-1.38,0.34,1.61,1.49,0.34,2.30,2.18,3.22,0.23,1.26,1.03,5.06,1.26,0
57948,-0.92,0.46,-1.38,-1.72,0.11,1.61,1.84,0.69,2.64,2.18,2.99,0.23,1.38,1.03,5.17,1.95,0
58065,-0.69,0.23,-1.61,-1.61,0.00,1.49,1.95,0.23,2.41,2.30,3.10,0.46,1.72,1.03,4.94,2.07,0
58182,-0.69,-0.11,-1.61,-1.38,0.11,1.61,1.49,0.57,2.64,2.18,2.99,0.46,1.03,0.92,5.06,2.07,0
58299,-0.34,0.11,-1.61,-1.38,-0.11,1.49,1.84,0.57,2.87,2.30,3.45,0.57,1.38,0.92,5.06,1.72,0
58416,-0.46,0.11,-1.84,-1.38,0.69,1.72,1.03,0.23,3.10,1.95,2.99,0.23,1.38,0.80,5.29,1.84,0
58533,-0.46,-0.11,-1.49,-1.15,0.34,1.95,1.61,0.69,2.30,2.64,3.10,0.80,1.03,0.69,5.17,1.49,0
58649,-0.34,-0.11,-1.84,-1.15,0.46,2.07,1.84,0.69,2.64,2.07,2.99,-0.23,1.15,1.15,4.94,1.95,0
58766,-0.57,-0.11,-1.61,-1.03,0.11,1.72,1.61,0.57,2.87,2.18,3.10,0.46,1.15,1.26,4.71,1.72,0
58883,-0.23,-1.84,-1.72,-1.26,0.23,1.84,1.72,0.69,2.41,2.18,3.22,0.11,1.26,0.80,5.29,2.07,0
59000,-0.69,0.23,-1.72,-1.26,-0.11,1.61,1.38,0.34,2.41,2.53,2.87,0.46,1.26,0.92,4.83,2.07,0
59117,-0.57,0.00,-1.72,-1.26,-0.11,1.49,1.49,0.69,2.53,2.30,3.10,0.00,1.26,0.92,4.83,2.18,0
59234,-0.34,0.11,-1.61,-1.26,0.34,1.72,1.49,0.57,3.10,2.53,2.76,0.46,1.38,1.26,5.17,1.95,0
59350,-0.57,0.23,-2.07,-1.26,-0.23,1.95,1.38,1.03,2.76,2.53,2.99,0.11,1.38,1.26,4.83,1.72,0
59467,-0.57,-0.23,-1.61,-1.15,0.23,1.61,1.61,0.80,2.64,1.95,2.87,0.46,1.49,1.03,5.06,2.07,0
59584,-0.69,0.11,-1.72,-1.49,0.00,2.07,1.61,0.92,2.41,2.18,2.64,0.34,1.38,1.03,4.71,1.38,0
59701,-0.80,0.00,-1.61,-0.92,0.34,1.49,1.84,0.57,2.53,2.30,3.10,0.34,1.38,1.15,5.17,1.84,0
59818,-0.80,0.11,-1.84,-1.49,0.23,1.72,1.61,0.80,2.87,2.41,3.10,0.34,1.38,1.26,5.17,2.30,0
59935,-0.46,-0.23,-1.38,-1.15,0.00,1.72,1.38,0.46,2.30,2.53,2.87,0.57,1.15,1.03,5.17,1.72,0
60051,-0.34,-0.23,-1.95,-1.15,0.00,1.84,1.61,0.69,2.18,2.53,3.22,0.34,1.38,1.38,5.06,2.30,0
60168,-0.46,-0.23,-1.03,-1.15,0.00,1.84,1.26,0.46,2.76,1.84,3.10,0.23,1.49,1.26,5.06,1.95,0
60285,-0.46,0.00,-1.95,-1.26,-0.11,1.72,1.38,0.57,2.64,2.18,3.22,0.34,1.26,0.92,5.17,1.38,0
60402,-0.80,-0.23,-1.61,-1.03,0.11,1.61,1.84,0.46,2.76,2.41,3.10,0.34,1.03,1.26,5.17,2.18,0
60519,-0.80,0.57,-1.84,-1.26,0.00,1.61,1.61,0.69,2.41,2.07,3.45,0.23,1.38,1.03,5.06,1.61,0
60636,-0.46,0.57,-1.72,-1.49,0.34,1.72,1.49,0.46,2.53,2.18,3.22,0.57,0.80,1.26,5.29,1.84,0
60752,0.00,0.11,-1.95,-1.72,0.57,1.72,1.61,0.69,2.87,2.18,3.10,0.34,1.26,1.15,5.06,1.84,0
60869,-0.57,0.23,-1.49,-1.26,0.00,1.72,1.49,0.69,2.76,2.99,2.87,0.11,1.15,1.38,5.40,1.49,0
60986,-0.69,0.00,-1.84,-1.15,0.69,1.72,1.84,0.69,2.53,2.53,3.22,0.11,1.72,1.03,4.83,1.95,0
61103,-0.57,0.23,-1.72,-1.26,0.23,1.72,1.72,0.46,2.41,2.41,2.76,0.46,1.38,1.26,4.71,1.84,0
61220,-0.80,-0.11,-1.72,-1.26,0.23,1.38,1.84,0.57,2.53,2.18,3.22,0.80,1.61,1.38,5.29,2.07,0
61337,-0.57,0.11,-1.95,-1.26,0.46,1.72,1.72,0.46,2.41,2.41,2.87,0.46,1.49,1.26,4.94,2.18,0
61453,-0.34,0.00,-1.61,-1.26,0.46,1.84,1.38,0.57,2.64,2.41,2.76,0.23,0.92,1.15,5.06,1.61,0
61570,-0.46,0.34,-1.72,-1.03,0.23,1.72,1.49,0.57,2.76,2.53,3.33,0.34,1.61,1.38,5.29,1.84,0
61687,-0.80,0.00,-1.72,-0.80,0.11,1.49,1.38,0.69,2.76,2.64,2.76,0.57,1.26,0.92,5.29,1.84,0
61804,-0.46,0.11,-1.49,-1.26,-0.11,1.72,1.38,0.80,2.87,2.53,2.99,0.34,1.26,1.15,4.94,1.95,0
61921,-0.46,0.11,-1.72,-1.49,0.00,1.49,1.38,0.57,2.41,2.53,3.10,0.69,0.57,1.26,5.17,1.95,0
62038,-0.23,0.11,-1.49,-1.38,0.23,1.72,1.61,0.80,2.76,2.53,3.22,0.23,1.38,1.26,5.06,1.84,0
62154,-0.46,0.00,-1.72,-1.49,0.34,1.84,1.84,0.34,2.30,2.41,3.10,0.00,1.15,1.49,4.94,1.61,0
62271,-0.23,0.34,-1.72,-1.26,0.23,1.72,1.95,0.80,2.64,2.07,3.56,0.69,0.69,1.03,5.17,1.61,0
62388,-0.69,-0.34,-1.49,-1.26,0.46,1.49,1.61,0.34,2.41,2.41,2.64,0.57,1.15,1.49,5.06,1.84,0
62505,-0.34,0.11,-1.72,-1.38,0.23,1.84,1.84,0.80,2.41,2.30,3.33,0.92,1.38,1.26,5.40,1.95,0
