time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
21767,-0.11,0.00,-1.49,-1.03,0.00,1.84,0.92,0.69,2.76,2.64,2.99,0.11,1.15,0.80,4.48,2.64,0
21883,-0.80,0.11,-1.72,-1.15,-0.11,1.84,1.61,0.46,2.30,2.76,2.87,0.46,1.03,0.69,4.71,1.72,0
22000,0.11,-0.57,-1.84,-1.38,0.23,1.84,1.15,0.69,2.87,2.64,2.99,0.57,1.26,0.23,4.60,2.07,0
22117,-0.23,-0.23,-2.18,-1.38,0.11,1.95,1.38,0.57,2.18,2.53,2.53,-0.11,0.92,0.80,4.48,2.18,0
22234,0.00,-0.11,-2.07,-0.80,-0.11,1.61,1.15,0.34,2.53,2.76,2.64,1.03,1.49,0.69,4.48,1.95,0
22351,0.00,-0.23,-1.49,-1.03,-0.34,1.84,1.61,0.80,2.30,2.87,2.99,0.46,1.26,0.80,4.60,1.95,0
22468,-0.11,0.00,-1.84,-1.26,-0.34,1.72,1.61,0.46,2.41,2.76,2.41,0.23,1.26,0.57,4.48,2.07,0
22585,-0.34,0.00,-1.61,-1.15,0.00,1.38,1.26,0.80,2.53,2.64,2.53,0.23,1.15,0.92,4.37,1.72,0
22701,-0.34,-0.11,-1.72,-1.38,0.23,1.72,1.15,0.00,2.64,2.53,2.53,0.57,1.15,0.69,4.37,2.18,0
22818,0.00,0.23,-1.49,-1.38,-0.11,1.72,1.72,0.34,2.64,2.53,2.87,0.23,1.26,1.03,4.48,2.07,0
22935,-0.11,-0.80,-1.84,-1.03,-0.57,1.84,1.15,0.57,2.64,2.53,2.76,0.69,1.49,0.69,4.25,1.84,0
23052,0.00,-0.23,-1.72,-1.38,0.00,1.95,1.38,0.57,2.53,2.64,2.53,0.69,1.03,1.03,4.37,1.72,0
23169,0.11,-0.23,-1.61,-1.15,0.23,1.72,1.15,0.46,2.41,2.53,2.64,0.11,0.92,0.57,4.60,2.30,0
23286,0.00,-0.11,-1.95,-1.26,0.00,1.84,1.49,0.34,2.64,2.41,2.64,0.34,1.26,0.57,4.48,2.30,0
23402,0.00,-0.11,-1.61,-1.38,0.00,1.72,1.26,0.69,2.87,2.53,2.53,0.57,1.26,0.80,4.48,2.07,0
23519,0.00,0.00,-1.84,-0.80,0.23,1.95,1.26,0.34,2.87,2.41,2.99,0.11,1.15,0.92,4.48,1.84,0
23636,0.00,-0.23,-1.61,-1.26,-0.23,2.07,1.38,0.46,2.87,2.18,2.64,0.46,1.61,0.69,4.60,1.95,0
23753,-0.11,0.11,-1.61,-1.38,0.00,1.72,1.26,0.57,2.64,2.53,2.87,0.69,1.15,0.80,4.25,2.18,0
23870,-0.11,-0.23,-1.72,-1.15,0.00,1.61,1.26,0.80,2.64,2.53,2.87,0.11,1.15,0.46,4.25,2.07,0
23987,-0.46,0.00,-1.72,-1.03,-0.11,2.07,1.15,0.34,2.64,2.41,3.10,0.46,1.03,0.80,4.71,2.07,0
24103,-0.46,-0.46,-1.95,-1.72,0.00,1.84,1.26,0.46,2.87,2.53,2.76,0.34,1.61,0.80,4.48,1.95,0
24220,-0.23,0.00,-1.61,-1.15,-0.11,1.84,1.61,0.57,2.53,2.41,2.76,0.46,0.57,0.80,4.83,1.95,0
24337,-0.34,-0.46,-1.84,-1.03,0.11,1.84,1.49,0.46,2.64,2.64,2.76,0.23,1.26,0.80,4.37,2.41,0
24454,0.00,-0.80,-1.72,-1.03,-0.23,1.61,1.26,0.57,2.41,2.76,2.87,0.69,1.49,0.69,4.71,2.18,0
