time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
77146,-0.57,0.92,-1.72,-1.38,-0.34,2.07,1.49,0.11,2.53,3.33,2.87,-0.11,0.23,1.15,4.60,2.30,0
77263,-0.80,1.26,-1.72,-1.61,-0.34,2.07,1.49,0.11,2.18,3.33,3.33,0.11,-0.11,1.15,4.71,1.61,0
77380,-0.34,1.03,-1.95,-1.38,1.38,2.18,1.72,0.34,2.18,3.33,3.22,0.11,0.34,1.38,4.71,1.61,0
77497,-0.34,0.80,-1.84,-1.72,-0.23,1.84,1.61,0.11,2.30,3.45,2.87,-0.23,0.69,1.15,4.60,1.84,0
77613,-0.57,1.49,-1.38,-1.72,-0.46,1.95,1.61,0.23,1.95,3.22,2.87,-0.11,0.00,1.38,4.48,1.84,0
77730,-0.34,1.38,-1.61,-1.49,-0.46,2.18,1.49,0.46,2.41,2.99,2.87,-0.11,0.00,1.49,4.83,1.72,0
77847,-0.92,1.26,-1.61,-1.49,-0.69,2.30,1.49,0.57,2.18,3.10,2.64,0.00,0.11,1.15,4.48,1.95,0
77964,-0.46,1.26,-1.72,-1.38,-1.03,2.30,1.26,0.23,2.07,3.22,2.64,-0.46,0.80,1.26,4.71,1.95,0
78081,-0.69,1.26,-1.38,-1.61,-0.23,2.07,1.49,-0.11,2.18,3.33,2.87,-0.23,0.23,1.03,4.71,1.84,0
78198,-0.80,1.26,-1.61,-1.49,-0.34,2.41,1.38,0.23,1.95,3.45,3.10,-0.23,0.57,1.26,4.60,1.72,0
78314,-0.69,1.15,-1.72,-1.38,-0.46,2.18,1.72,0.46,2.53,3.33,3.10,0.34,0.23,1.61,4.60,1.49,0
78431,-0.69,1.03,-1.61,-1.26,-0.92,2.18,1.38,0.46,2.53,3.33,2.87,-0.11,0.23,1.15,4.71,1.84,0
78548,-0.34,1.38,-1.49,-1.38,0.00,2.30,1.26,0.34,1.84,3.45,3.22,-0.11,-0.11,1.38,4.71,1.61,0
78665,-0.57,1.49,-1.61,-1.49,-0.23,2.07,1.95,0.34,1.95,2.76,2.87,0.34,0.23,1.49,4.60,1.84,0
78782,-0.46,1.15,-1.84,-1.49,-0.69,2.41,1.03,0.23,1.84,3.22,2.64,-0.23,0.11,1.38,4.60,1.84,0
78898,-0.57,1.26,-1.49,-1.84,-0.23,2.07,1.84,0.57,2.18,2.99,2.99,0.11,-0.11,1.38,4.48,1.84,0
79015,-0.80,0.80,-1.72,-1.03,-0.23,2.41,1.84,0.00,2.18,3.10,2.76,-0.11,-0.23,0.92,4.83,1.61,0
79132,-0.23,0.92,-1.61,-1.38,-0.34,1.84,1.38,-0.23,1.95,3.33,2.87,-1.84,0.23,1.38,4.25,2.41,0
79249,-1.03,1.26,-1.84,-1.38,-0.34,2.30,1.38,0.23,2.30,2.99,3.10,0.11,0.34,1.26,4.37,1.95,0
79366,-0.69,1.15,-1.61,-1.26,-0.69,2.18,1.49,0.34,2.18,3.45,2.87,0.11,0.23,1.61,4.60,1.84,0
79482,-1.03,1.49,-1.72,-1.38,-0.69,2.41,1.61,0.69,2.07,2.99,2.87,0.34,0.57,1.26,4.25,1.95,0
79599,-0.34,1.49,-1.61,-1.15,-0.80,2.07,1.72,0.46,2.18,3.68,3.22,0.00,0.23,1.03,4.60,2.07,0
79716,-0.46,0.92,-1.72,-1.49,-0.69,1.95,1.61,0.57,2.07,3.45,2.87,-0.23,0.34,1.38,4.71,2.30,0
79833,-0.80,1.38,-1.95,-1.03,-0.57,2.07,1.15,0.46,2.30,3.22,2.87,0.11,-0.11,1.03,4.48,1.95,0
79950,-0.69,1.26,-1.61,-1.49,-0.46,2.18,1.84,0.23,2.07,3.10,2.87,-0.46,-0.11,0.92,4.48,1.95,0
80067,-0.46,1.15,-1.95,-1.49,-0.23,2.53,1.61,0.34,2.18,3.33,3.33,-0.11,0.00,1.38,4.37,2.18,0
80183,-0.80,1.03,-1.72,-1.49,-0.34,2.07,1.38,0.23,2.30,2.99,2.87,-0.23,0.57,1.15,4.60,1.72,0
80300,-0.69,0.92,-1.72,-1.26,-0.34,2.07,1.61,0.00,2.07,2.99,3.10,0.00,0.23,1.38,4.60,2.07,0
80417,-0.57,0.69,-1.61,-1.61,-0.23,1.84,1.61,0.57,1.84,3.45,3.10,-0.11,0.23,1.26,4.48,1.72,0
80534,-0.57,0.92,-1.84,-1.26,-0.92,2.41,1.26,0.57,2.07,3.33,2.76,0.00,0.11,0.80,4.48,1.72,0
80651,-0.46,0.80,-1.61,-1.26,-1.03,2.18,1.95,0.11,2.07,3.33,2.99,-0.11,-0.11,1.38,4.48,1.61,0
80767,-0.80,0.92,-1.61,-1.72,-0.34,2.30,1.26,0.23,2.07,2.99,3.22,-0.11,0.00,1.72,4.37,1.72,0
80884,-0.46,1.26,-1.49,-1.61,-0.57,2.07,1.84,0.00,1.84,3.10,2.76,-0.46,0.11,1.49,4.71,1.95,0
81001,-0.69,1.15,-1.72,-1.61,-0.46,2.30,1.26,0.23,1.95,3.33,3.10,-0.11,0.11,1.03,4.48,1.61,0
81118,-0.92,1.38,-1.72,-1.26,-0.46,2.41,1.84,0.57,1.95,2.99,3.10,0.11,0.23,1.26,4.60,1.84,0
81235,-0.23,0.80,-1.72,-1.38,0.00,2.18,1.49,0.46,2.30,3.22,3.10,-0.23,0.00,1.38,4.37,2.07,0
81352,-0.34,0.57,-1.95,-1.03,-0.34,2.18,1.38,0.46,2.30,3.45,3.10,-0.11,0.23,1.84,4.83,2.30,0
81468,-0.92,1.26,-1.95,-1.61,0.00,2.53,1.49,0.69,2.07,2.87,2.76,-0.11,0.00,1.03,4.37,2.07,0
81585,-0.69,1.61,-1.61,-1.49,-0.92,2.07,1.61,0.34,1.84,2.99,3.22,-0.11,0.23,1.15,4.02,1.84,0
81702,-1.03,0.69,-1.72,-1.49,-0.80,2.07,1.84,0.23,2.18,3.33,2.99,-0.11,-0.11,1.26,4.48,1.72,0
81819,-0.80,1.26,-1.72,-1.15,-0.69,2.41,1.38,0.00,1.95,3.56,2.76,-0.23,0.11,0.80,4.60,1.95,0
81936,-0.69,1.15,-1.61,-1.38,-0.34,2.30,1.49,0.00,1.95,3.33,3.22,0.00,0.46,0.57,4.48,1.95,0
82052,-0.57,1.26,-1.61,-1.38,-0.23,2.07,1.49,0.23,1.84,3.22,2.99,-0.23,0.34,1.61,4.60,1.95,0
82169,-0.69,0.92,-1.49,-1.38,-0.46,2.64,1.72,0.23,2.18,3.45,2.99,0.11,0.46,1.49,4.71,1.95,0
82286,-0.34,1.15,-1.61,-1.38,-0.57,2.18,1.72,0.46,2.18,3.45,2.76,-0.34,-0.11,1.38,4.25,1.95,0
82403,-0.34,1.38,-1.95,-1.49,-0.23,2.18,1.38,0.00,2.18,3.22,3.22,-0.11,-0.11,1.15,4.48,1.84,0
82520,-0.46,1.72,-1.49,-1.49,-0.57,2.30,1.84,0.23,2.41,3.10,3.10,-0.34,-0.23,1.26,4.37,1.95,0
82637,-0.34,0.92,-1.72,-1.72,-0.34,2.30,1.72,0.57,2.07,3.10,2.76,-0.23,0.11,1.26,4.60,1.95,0
82753,-0.34,5.52,6.67,-10.46,2.87,10.81,-89.78,12.18,2.18,17.01,-44.95,25.29,-1.38,91.16,0.57,-149.43,1
82870,6.90,9.43,-7.01,-20.12,23.68,7.36,-6.55,3.45,-2.64,11.84,-4.71,-0.57,-5.40,1.38,-8.16,2.41,0
82987,-6.90,2.99,1.15,-0.11,-4.37,-1.03,5.17,1.72,1.49,2.87,-8.05,9.08,1.03,0.80,3.91,2.30,0
83104,0.34,-8.28,-1.38,-6.67,-0.92,-19.31,-5.17,-6.67,0.69,0.00,1.26,-10.69,3.22,-1.84,4.02,-14.48,0
