time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
203253,-0.34,0.46,-1.26,-1.72,-0.34,2.18,1.95,-0.46,2.53,2.18,3.33,-0.34,0.80,0.92,5.17,1.95,0
203370,-0.57,0.23,-0.80,-1.38,-0.34,1.72,1.95,-0.11,2.07,2.18,3.22,0.34,0.00,1.38,5.17,1.03,0
203487,-0.69,0.23,-1.26,-1.72,-0.57,2.18,2.07,-0.11,2.30,2.53,3.22,0.23,0.69,0.92,5.29,1.72,0
203604,-0.57,-0.34,-1.03,-1.26,-0.69,1.95,1.84,-0.11,2.18,2.53,3.10,0.34,0.34,0.92,4.83,1.26,0
203721,-0.69,0.46,-1.26,-1.72,-0.34,2.18,2.07,0.00,2.30,2.53,3.10,0.00,0.00,0.92,5.29,1.15,0
203837,-0.34,0.11,-1.38,-1.26,-0.46,1.95,1.84,-0.57,1.95,2.53,3.56,0.23,0.69,0.92,5.40,1.61,0
203954,-0.57,0.34,-1.26,-1.72,-0.57,1.72,2.18,-0.57,2.07,2.41,2.99,0.11,0.57,0.80,5.17,1.38,0
204071,-0.80,0.11,-1.38,-1.61,-0.11,2.07,1.95,-0.34,2.41,2.07,3.10,0.23,0.46,0.92,4.94,1.38,0
204188,-0.80,0.11,-1.15,-1.26,-0.23,1.84,1.95,-0.46,2.18,2.53,3.22,-0.34,0.46,0.92,5.06,1.84,0
204305,-0.57,0.57,-0.92,-1.38,-0.46,1.95,1.95,0.23,2.18,2.30,3.45,0.11,0.92,1.38,5.29,1.72,0
204422,-0.69,-0.11,-1.38,-1.72,-0.11,2.07,2.18,0.34,2.07,2.41,3.56,0.11,0.11,1.15,4.94,1.03,0
204538,-0.57,0.00,-1.38,-1.49,-0.23,1.84,2.18,-0.23,2.30,2.64,3.10,0.34,0.46,1.03,4.94,1.95,0
204655,-1.15,0.00,-1.38,-1.84,-0.57,2.07,2.07,0.11,2.41,2.64,3.33,0.11,0.46,1.26,5.40,1.95,0
204772,-0.46,-0.11,-1.03,-1.15,-0.34,1.95,1.95,0.00,2.07,2.30,3.22,0.00,0.57,0.92,4.94,1.38,0
204889,-0.92,0.00,-1.03,-1.26,-0.23,1.95,2.18,-0.23,2.76,2.41,3.45,0.34,0.80,1.38,5.40,1.72,0
205006,-0.34,-0.34,-1.61,-1.49,-0.11,1.84,2.07,0.11,2.64,2.41,3.33,0.23,0.34,1.26,5.17,1.61,0
205122,-1.03,0.23,-1.03,-1.61,-0.11,1.95,2.18,0.11,1.95,2.30,3.22,0.11,0.34,0.80,5.17,1.38,0
205239,-0.57,0.00,-1.49,-1.38,-0.34,1.95,2.07,0.11,2.18,2.53,3.10,0.23,0.57,1.15,4.71,2.07,0
205356,-0.69,0.11,-0.80,-1.49,-0.23,1.84,1.95,0.11,2.18,2.76,3.22,0.11,1.03,0.92,5.29,1.26,0
205473,-1.03,-0.11,-1.15,-1.95,-0.11,1.84,1.95,-1.84,2.53,2.64,3.45,0.57,0.57,1.03,5.06,1.61,0
205590,-0.46,0.34,-1.49,-1.84,-0.34,2.18,2.07,0.23,2.07,2.18,3.45,-0.23,0.46,1.03,5.29,1.95,0
