time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
83269,-0.92,0.00,-1.61,-1.03,0.46,1.38,1.38,0.69,1.95,2.53,3.22,0.57,1.15,1.15,5.17,2.18,0
83386,-0.92,0.57,-1.72,-1.26,0.46,1.72,1.95,0.46,0.11,2.41,2.99,0.57,1.15,0.80,4.83,1.95,0
83503,-0.46,0.46,-1.38,-1.03,0.46,1.61,1.61,1.26,2.30,2.41,2.99,0.46,1.49,1.03,4.94,2.07,0
83620,-1.03,0.00,-1.72,-0.80,0.57,1.61,1.72,0.92,1.84,2.64,2.64,0.46,1.38,1.26,4.94,1.61,0
83737,-0.46,-0.11,-1.72,-0.69,0.34,1.61,1.38,0.34,2.07,2.87,3.10,0.23,1.03,0.80,5.17,1.84,0
83854,-1.03,0.00,-1.49,-0.80,0.46,1.61,1.49,0.57,1.84,2.53,3.10,0.34,1.26,0.80,5.29,1.95,0
83970,-0.57,0.23,-1.38,-1.03,0.00,1.38,1.49,0.34,1.95,2.53,3.22,0.46,1.15,1.03,5.17,1.49,0
84087,-0.57,0.11,-1.61,-0.80,0.34,1.61,1.84,0.46,1.84,2.76,3.10,0.57,1.49,1.61,5.17,2.07,0
84204,-0.92,0.11,-1.72,-1.26,0.46,1.72,1.26,0.57,1.84,2.76,3.22,0.46,1.61,1.26,4.83,1.84,0
84321,-0.92,0.00,-1.26,-0.69,1.03,1.49,1.61,0.69,1.84,2.53,2.76,0.11,0.80,0.92,5.06,1.72,0
84438,-0.92,-0.11,-1.38,-1.03,0.23,1.84,1.72,0.80,1.38,2.41,2.76,0.57,1.72,0.92,5.06,1.84,0
84554,-0.46,0.34,-1.38,-0.80,0.57,1.95,1.38,0.69,1.84,2.64,3.10,0.34,1.38,0.92,5.29,2.07,0
84671,-0.80,0.11,-1.38,-0.92,-0.11,1.61,1.61,0.92,1.95,2.53,2.64,0.34,1.49,0.80,5.06,2.07,0
84788,-1.03,0.00,-1.49,-0.69,0.34,1.38,1.61,0.92,2.07,2.53,2.87,0.69,1.03,1.03,5.17,2.18,0
84905,-0.80,0.34,-1.26,-0.57,0.11,1.84,1.61,0.34,1.49,2.53,2.99,0.46,1.61,0.80,5.17,1.84,0
85022,-0.92,0.23,-1.26,-0.92,0.57,1.61,1.38,0.46,1.84,2.30,3.10,0.23,1.61,1.26,5.06,1.95,0
85139,-1.03,0.34,-1.49,-1.03,0.23,1.72,1.61,0.69,1.84,2.53,2.99,0.34,0.69,0.92,5.29,2.18,0
85255,-0.92,0.23,-1.38,-0.69,0.46,3.56,1.72,0.23,1.61,2.53,2.64,0.11,1.15,1.03,4.94,1.84,0
85372,-1.15,0.11,-1.72,-0.69,0.80,1.38,1.61,1.26,1.72,2.87,3.45,0.46,1.61,1.26,5.17,1.84,0
85489,-0.80,0.00,-1.49,-0.92,0.57,1.95,1.38,0.80,1.95,2.64,2.87,0.23,1.61,0.80,4.94,2.07,0
85606,-0.57,0.11,-1.61,-0.92,0.46,1.38,1.15,0.23,1.38,2.87,3.22,0.57,1.03,1.49,5.17,2.07,0
85723,-0.92,0.11,-1.38,-1.03,0.69,1.72,1.72,0.92,1.95,2.41,2.99,0.92,1.38,0.92,4.83,1.61,0
85839,-0.69,0.34,-1.72,-0.80,0.34,1.61,1.38,0.57,1.84,2.64,3.22,0.46,1.15,1.38,5.17,2.76,0
85956,-0.57,0.57,-1.49,-1.15,0.69,1.49,1.49,0.46,1.72,2.41,2.53,0.46,1.15,0.92,4.94,1.49,0
86073,-0.69,0.11,-1.61,-0.69,0.23,1.49,1.72,1.61,2.07,2.41,2.76,0.23,1.38,0.92,4.83,1.61,0
86190,-0.80,0.23,-1.72,-1.03,0.46,1.84,1.38,0.69,2.30,2.64,3.45,0.46,1.38,1.15,5.06,2.41,0
86307,-0.69,0.11,-2.18,-1.15,0.34,1.61,1.61,0.34,2.18,2.18,2.99,0.57,1.26,1.03,5.17,1.72,0
86424,-0.80,0.46,-1.61,-0.57,0.23,1.49,1.84,1.03,1.95,2.41,2.99,0.69,1.26,1.15,4.71,1.61,0
86540,-0.80,0.00,-1.49,-0.92,0.80,1.61,1.38,0.46,1.61,2.53,2.76,0.34,1.38,1.03,5.29,1.38,0
86657,-0.80,0.23,-1.95,-1.03,0.34,1.72,1.49,0.34,1.95,2.30,3.22,0.57,1.03,1.03,5.06,2.07,0
86774,-0.69,0.11,-1.49,-1.15,0.34,1.84,1.72,0.69,2.07,2.53,3.10,0.34,1.26,1.03,4.94,2.07,0
86891,-0.92,-0.11,-1.61,-0.46,0.57,1.61,1.49,1.03,1.95,2.87,2.99,0.34,1.26,1.15,4.48,2.07,0
87008,-0.80,0.34,-1.84,-0.92,0.34,1.72,1.61,0.11,2.07,2.41,2.99,0.46,1.03,1.26,5.17,2.07,0
87124,-0.69,0.11,-1.38,-0.69,0.57,1.72,1.61,0.46,1.84,2.53,2.99,0.34,1.26,0.80,4.83,1.95,0
87241,-0.92,0.23,-1.84,-0.92,0.23,1.61,1.72,1.15,1.49,2.53,3.33,0.92,1.38,1.03,4.94,1.84,0
87358,-0.57,-0.11,-1.61,-0.69,0.23,1.72,1.38,0.11,2.41,2.64,2.99,0.11,1.38,1.26,5.17,2.30,0
87475,-0.92,0.11,-1.72,-1.26,0.46,1.49,1.61,0.57,2.07,2.53,2.99,0.00,1.15,1.03,5.17,1.84,0
87592,-0.80,0.00,-1.61,-0.57,0.34,1.61,1.49,1.03,1.84,2.41,3.10,0.80,1.26,0.69,5.06,1.95,0
87708,-1.03,0.11,-1.95,-0.69,0.46,3.45,1.49,0.11,1.95,2.64,2.76,0.34,1.38,0.92,5.29,2.30,0
