time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
22484,-0.69,-0.46,-1.84,-1.61,0.00,1.84,1.15,0.46,2.53,2.53,2.53,0.57,1.03,1.15,4.83,2.07,0
22600,-0.11,-1.84,-1.84,-1.15,-0.23,1.84,1.49,0.46,2.64,2.53,2.76,0.23,0.69,0.69,4.14,1.49,0
22717,-0.34,-0.11,-1.72,-0.80,-0.23,1.61,1.61,0.57,2.76,2.53,3.10,0.11,0.92,1.03,4.37,1.84,0
22834,-0.57,0.11,-2.07,-1.38,0.11,1.84,1.84,0.46,2.76,2.76,3.10,0.46,0.69,0.69,4.48,2.30,0
22951,-0.11,-0.46,-1.61,-0.92,-0.11,1.95,1.49,0.80,2.53,2.64,2.07,0.57,0.46,0.92,4.02,1.95,0
23068,-0.46,-0.11,-2.07,-1.15,0.34,1.38,1.38,0.92,2.64,2.64,2.76,0.11,1.49,0.92,4.48,2.41,0
23185,-0.34,-0.34,-1.61,-1.61,-0.11,1.72,1.38,0.69,3.22,2.53,2.30,0.34,0.34,0.80,3.91,1.95,0
23301,-0.34,0.00,-1.84,-0.80,0.00,1.49,1.38,0.92,2.18,2.41,2.30,0.11,0.80,0.92,4.37,1.84,0
23418,-0.46,-0.34,-1.84,-0.80,0.11,2.07,1.26,0.34,2.64,2.53,2.53,0.57,0.69,0.69,4.71,2.53,0
23535,-0.69,-0.34,-1.72,-1.26,-1.84,2.07,1.15,0.57,2.30,2.64,2.53,0.11,0.69,1.38,4.25,1.49,0
23652,-0.46,-0.23,-1.38,-1.26,-0.34,1.84,1.72,0.46,2.76,2.76,2.76,-0.11,1.03,0.92,4.37,2.18,0
23769,-0.46,-0.46,-1.72,-1.61,-0.23,1.72,1.38,0.34,2.41,2.76,2.41,0.69,0.69,0.80,4.25,2.07,0
23886,-0.46,-0.34,-1.49,-0.80,-0.11,1.61,1.72,1.15,2.99,2.76,2.76,0.69,0.69,0.80,4.25,1.26,0
24002,-0.46,-0.23,-1.72,-1.15,-0.11,1.84,1.49,0.00,2.76,2.53,2.99,0.80,1.15,1.26,4.25,2.64,0
24119,-0.57,-0.34,-1.84,-1.26,-0.23,2.07,1.38,0.46,2.30,2.64,2.41,0.57,0.80,1.15,4.14,1.95,0
24236,-0.46,-0.23,-1.72,-1.26,-0.34,1.95,1.26,0.69,2.76,2.18,2.76,0.00,0.57,1.03,4.48,2.07,0
24353,-0.34,0.00,-1.84,-1.26,-0.46,1.84,1.03,0.34,2.18,2.30,2.53,0.69,1.15,0.69,4.60,1.72,0
24470,-0.34,-0.23,-1.38,-0.80,-0.11,1.84,1.38,0.46,2.41,2.64,2.87,-0.23,0.92,1.15,4.14,2.18,0
24586,-0.92,-0.34,-2.07,-1.15,0.00,1.61,1.61,0.46,2.30,2.53,2.99,0.46,0.34,1.03,4.60,1.95,0
24703,-0.23,-0.11,-1.72,-1.15,-0.34,1.72,1.49,0.46,2.18,2.76,2.64,0.11,1.03,0.92,4.37,1.72,0
24820,-0.46,0.23,-1.61,-1.26,-0.11,1.49,1.61,0.69,2.18,2.18,2.99,0.34,0.69,0.80,4.48,1.95,0
24937,-0.23,-0.69,-1.61,-1.03,0.34,1.84,1.49,0.57,2.30,2.76,2.99,0.46,0.57,0.80,4.14,2.30,0
25054,-0.23,-0.23,-1.72,-0.57,-0.11,1.38,1.49,0.92,2.76,2.53,3.10,0.11,0.80,0.92,4.48,1.84,0
25171,-0.69,-0.23,-1.95,-1.03,-0.23,1.49,1.26,0.34,2.41,2.53,2.76,0.23,0.92,0.69,4.60,1.95,0
25287,-0.46,0.00,-1.72,-1.03,-0.23,1.72,1.61,0.11,1.84,2.53,2.87,0.57,0.92,1.03,4.37,1.61,0
25404,-0.69,0.00,-1.61,-0.80,-0.11,1.72,1.38,0.92,2.76,2.53,2.99,0.34,0.92,0.92,4.14,2.07,0
25521,-0.46,-0.11,-1.72,-1.38,0.00,1.72,1.72,0.80,2.07,2.30,2.64,0.57,0.92,0.57,4.48,2.30,0
25638,-0.69,-0.80,-1.84,-1.03,-0.11,0.00,1.15,0.57,2.64,2.53,2.64,0.34,1.15,0.92,4.48,1.84,0
25755,-0.34,-0.46,-1.61,-0.92,-0.11,1.61,1.26,0.23,2.76,2.87,2.87,0.23,0.80,0.92,4.60,1.95,0
25872,-0.57,0.11,-1.72,-1.15,0.00,1.72,1.26,0.23,2.30,2.30,2.53,0.11,1.26,0.46,4.71,1.95,0
25988,-0.46,0.00,-1.84,-1.49,-0.11,1.49,1.84,0.80,2.41,2.53,2.99,0.34,0.69,0.80,4.48,2.07,0
26105,-0.23,-0.34,-1.61,-1.38,-0.23,1.72,1.38,0.69,2.18,2.41,2.64,0.34,0.80,0.92,4.25,1.84,0
26222,-0.46,-0.11,-1.61,-1.03,0.00,1.72,1.38,0.57,2.64,2.64,2.99,0.46,0.57,0.80,4.25,1.95,0
26339,-0.34,-0.11,-1.49,-0.80,-0.11,1.61,1.61,0.69,2.41,2.76,2.87,-0.23,0.69,1.15,4.60,1.95,0
26456,-0.11,-0.11,-1.95,-1.15,-1.84,1.84,1.03,0.11,2.64,2.30,2.64,0.23,1.03,0.46,4.60,2.07,0
26573,-0.69,-0.34,-1.72,-1.38,-0.23,1.49,1.61,0.69,2.07,2.64,2.64,0.11,0.69,0.92,4.25,2.30,0
26689,-0.23,-0.23,-1.61,-1.26,-0.23,1.61,1.49,0.34,2.53,2.41,2.53,0.11,0.80,1.03,4.14,1.95,0
26806,-0.46,-0.34,-1.38,-1.26,-0.34,1.61,1.26,0.11,2.41,2.30,2.76,-0.11,0.46,0.92,4.37,2.07,0
26923,-0.46,-0.23,-1.72,-1.38,-0.69,1.61,1.26,0.57,2.64,2.30,2.99,0.23,0.69,1.15,4.25,1.84,0
27040,-0.69,-0.69,-1.61,-0.69,-0.34,1.72,1.38,0.11,2.30,2.87,2.53,0.69,0.57,0.92,4.25,2.41,0
27157,-0.34,-0.46,-1.72,-1.26,-0.11,1.84,1.49,0.69,2.41,2.64,2.64,0.69,0.80,0.80,4.60,2.30,0
27273,-3.22,-0.34,-2.07,-1.49,5.29,4.60,5.29,1.49,4.71,8.74,14.02,6.90,20.23,2.99,2.30,2.30,0
27390,-2.99,-1.15,6.21,-5.17,4.60,43.34,-2.41,0.92,-4.37,21.96,-5.40,2.53,10.35,45.86,11.04,6.78,0
27507,-4.83,1.84,-5.86,-0.80,3.22,5.75,8.05,-7.93,-0.92,2.99,4.71,-11.61,-0.92,0.00,4.25,-5.17,0
27624,2.07,-4.25,-4.83,1.72,-5.06,-2.87,3.10,1.03,-3.45,6.09,4.60,0.57,-6.90,3.33,4.71,3.56,0
27741,-0.92,-1.26,1.49,-0.69,-1.38,3.79,0.46,1.49,2.41,3.10,2.07,2.07,0.69,-0.57,3.33,1.03,0
27858,1.72,0.34,-1.49,-0.57,0.57,1.61,2.30,0.11,3.45,2.53,4.25,1.03,0.11,5.06,4.37,-0.69,0
27974,0.00,-0.46,-1.72,-0.80,-0.69,1.15,1.03,1.61,2.76,3.56,3.91,-0.34,1.49,0.80,3.79,1.49,0
28091,0.46,-0.92,-2.53,0.23,0.11,3.79,1.26,0.57,3.10,3.22,2.99,-0.23,1.72,1.95,5.29,1.38,0
28208,0.00,0.23,-1.61,-1.49,0.46,0.92,2.41,0.69,2.99,2.87,3.10,0.34,1.95,0.57,6.44,1.26,0
28325,0.11,-0.34,-1.15,-1.03,0.46,1.84,1.38,1.38,2.64,2.64,2.30,0.69,0.57,1.84,4.37,2.18,0
28442,-0.46,-0.92,-1.61,-1.15,0.00,1.26,0.80,0.69,2.64,2.30,2.18,0.92,1.15,0.34,4.02,2.64,0
28559,-0.23,-0.11,-1.84,-1.26,-0.11,2.18,1.03,1.26,2.18,2.64,2.76,0.92,0.69,0.34,4.48,1.61,0
28675,-0.69,-0.46,-1.61,-1.15,0.34,1.72,2.18,1.03,2.41,2.53,2.99,0.46,1.49,1.26,4.60,2.07,0
28792,-0.23,-0.34,-1.84,-1.03,-0.46,1.72,1.61,0.11,2.30,2.41,3.68,0.11,0.69,1.15,4.83,2.07,0
28909,-0.23,-0.23,-1.72,-1.15,0.34,1.95,1.38,0.46,2.41,2.64,2.64,0.34,0.92,0.92,3.79,1.72,0
29026,-0.34,-0.34,-1.72,-1.38,0.00,1.95,1.26,0.11,2.64,2.30,2.64,-0.11,1.38,1.15,4.37,1.84,0
29143,-1.72,-0.80,-1.61,-1.15,0.34,1.72,1.26,0.57,9.89,10.69,9.77,10.46,-32.19,10.23,-2.30,7.59,0
29259,14.02,0.80,-4.60,-3.79,26.90,18.51,-1.61,3.68,9.66,10.00,-29.43,0.57,9.20,70.35,-16.32,1.38,0
29376,0.11,3.68,-6.78,1.26,-4.94,0.69,5.98,-8.05,-0.69,3.45,12.18,-14.37,4.02,4.02,3.91,-2.64,0
29493,-0.57,-8.16,-6.44,-1.72,-2.76,0.80,1.95,0.69,-0.80,4.83,2.99,0.11,-1.72,1.38,3.68,11.15,0
29610,-1.15,0.11,-1.84,-1.95,0.23,0.57,-14.14,2.87,2.64,2.76,-2.18,0.34,0.46,0.00,6.90,2.99,0
29727,0.23,1.95,-4.14,0.11,-0.46,1.95,1.49,0.57,3.56,6.09,0.00,-0.57,1.38,2.99,5.17,2.64,0
29844,-0.92,0.00,-1.61,-2.07,0.46,3.33,3.56,0.92,4.02,1.49,2.18,-1.03,2.07,1.72,3.91,2.07,0
29960,-1.15,1.84,-1.61,-0.11,0.11,2.41,1.72,0.80,3.91,2.64,3.33,0.11,0.23,0.69,5.06,1.72,0
30077,0.34,-0.11,-1.84,-1.49,0.11,2.99,1.49,0.92,2.87,2.41,3.33,-0.46,1.03,0.23,5.40,2.07,0
30194,-0.57,-0.92,-1.95,-1.03,0.11,1.15,1.15,1.49,3.22,2.18,2.64,1.84,1.61,0.57,3.56,1.49,0
30311,-0.92,0.11,-1.95,-0.34,-0.11,1.95,1.61,0.46,2.07,2.07,2.07,0.69,1.03,0.23,4.25,3.56,0
30428,0.00,-0.92,-1.95,-1.72,0.46,3.68,1.38,0.92,2.41,2.99,3.22,0.57,0.57,0.92,5.06,2.07,0
30545,-0.34,0.00,-1.03,-1.03,-0.11,1.61,1.84,0.69,2.53,2.99,2.64,0.69,1.26,-1.72,4.37,1.61,0
30661,-0.11,-0.23,-1.61,-1.49,0.34,1.84,1.61,0.34,2.64,2.41,3.45,0.34,0.57,1.38,5.17,2.18,0
30778,-0.69,-0.23,-1.49,-1.26,-0.11,1.72,1.84,0.46,2.87,2.41,2.41,0.23,0.92,0.92,4.37,1.95,0
30895,-0.46,-0.46,-1.95,-1.38,0.34,1.95,0.92,0.69,2.53,2.30,2.41,0.23,0.80,0.92,4.25,1.38,0
31012,-4.60,-0.23,-1.49,-1.15,8.39,4.14,5.40,0.80,27.01,9.54,10.58,5.75,5.17,17.24,15.40,9.89,0
31129,-9.89,-15.98,-5.29,-2.76,-9.89,16.44,-5.63,4.83,5.17,77.59,-11.38,6.90,-9.08,18.62,0.92,0.46,0
31246,-4.94,-1.26,12.64,-13.22,0.23,1.61,-3.91,4.02,1.38,0.34,4.83,1.72,1.95,-3.22,9.08,5.29,0
31362,-2.30,-8.62,-2.64,-4.48,-0.80,-28.74,8.51,0.92,3.91,-8.97,4.83,4.02,5.29,-5.75,3.10,1.38,0
31479,-1.95,3.10,3.22,2.76,1.84,2.07,-1.15,1.84,-0.80,2.53,-2.41,0.00,2.53,1.61,-13.68,5.75,0
31596,0.80,1.03,-1.61,-1.95,1.15,3.68,2.07,-2.18,2.76,4.02,3.91,0.00,0.23,2.18,4.37,0.46,0
31713,-0.34,-1.95,-0.69,-1.38,1.15,1.84,0.92,0.69,2.76,2.53,1.95,-0.69,2.99,1.49,4.71,0.69,0
31830,-0.46,0.34,-1.61,-0.57,0.00,1.49,1.84,1.84,2.99,2.64,3.56,0.92,2.07,0.46,3.68,0.57,0
31946,-0.23,-0.34,-1.84,0.23,1.15,1.84,2.07,1.03,2.76,2.18,2.41,-0.57,-0.34,0.57,5.17,2.07,0
32063,-0.46,-0.34,-1.49,-0.46,0.46,0.92,1.49,1.15,3.68,2.64,2.30,0.69,0.57,1.72,2.30,2.18,0
32180,-0.46,0.23,-1.38,-0.80,-0.57,1.84,1.61,1.49,2.53,2.41,2.07,0.34,1.95,0.23,4.02,1.61,0
32297,-0.11,-0.11,-2.07,-1.26,-1.84,1.95,0.69,0.80,1.84,1.84,2.99,1.03,1.15,1.61,5.06,1.84,0
32414,-0.11,-0.23,-1.61,-1.61,0.11,2.53,1.95,0.57,2.53,2.64,2.76,-0.11,0.11,0.80,4.37,2.30,0
32531,-0.11,-0.69,-1.84,-0.92,-0.46,1.61,1.26,0.46,3.10,2.64,2.99,0.69,0.92,1.49,4.83,2.18,0
32647,-0.23,-0.34,-1.72,-1.15,-0.46,1.72,1.49,1.03,3.22,2.18,2.64,0.57,0.80,-0.11,3.79,2.64,0
32764,-0.69,0.00,-1.84,-1.26,-0.57,0.00,1.03,0.57,2.76,2.76,2.99,0.23,0.57,1.61,4.37,1.95,0
32881,57.36,17.82,-23.79,-18.39,102.88,13.22,-6.32,1.49,21.73,-24.83,-27.47,-0.69,-2.87,-5.40,-9.31,10.69,0
32998,-0.23,13.56,11.72,-21.15,-10.12,14.02,1.26,15.17,1.84,14.02,-2.87,-2.99,3.10,-14.02,4.02,35.98,0
33115,-7.36,-2.30,-11.84,1.49,-15.75,-13.56,0.23,0.46,-9.31,-4.60,7.24,2.30,-1.49,0.34,6.21,4.25,0
33232,-1.15,1.49,-9.08,3.68,-0.34,2.07,1.38,5.29,3.56,1.72,2.53,3.33,-0.34,-2.87,0.57,3.79,0
33348,0.92,0.00,-0.23,-4.71,-0.11,2.87,-0.34,-2.41,1.72,4.14,1.72,-1.49,-1.26,-1.26,-1.26,-6.21,0
33465,-0.23,-0.57,-5.17,-1.72,2.07,1.49,4.02,-0.11,4.37,2.41,5.29,-6.90,3.56,0.46,4.37,1.26,0
33582,1.26,0.69,-1.49,-1.61,-0.69,2.18,0.80,-0.23,3.79,3.10,4.02,0.92,1.15,0.46,5.06,2.41,0
33699,-0.92,-0.23,-1.61,-0.11,0.23,0.92,1.49,0.80,2.64,2.53,3.45,0.57,1.72,0.92,5.52,1.95,0
33816,0.11,-1.26,-0.92,-1.15,-0.11,1.26,1.26,0.34,3.10,3.22,2.87,1.49,0.00,1.38,4.14,2.76,0
33933,-0.92,0.11,-1.61,-1.03,-1.38,2.18,0.92,0.80,2.76,2.41,3.10,1.26,0.34,0.92,3.45,2.76,0
34049,0.23,0.11,-1.72,-0.34,0.34,3.56,0.92,-0.23,3.10,2.64,2.76,0.46,0.80,1.03,4.02,1.84,0
34166,-0.11,0.00,-1.84,-1.15,-0.34,1.84,1.38,0.23,2.76,2.53,2.76,0.11,1.38,0.80,4.71,2.76,0
34283,-0.46,-0.11,-1.49,-0.92,-0.23,2.18,1.38,0.23,2.64,2.64,2.87,0.11,0.80,1.03,4.60,1.03,0
34400,-0.46,0.00,-2.07,-1.49,-0.34,1.84,1.38,0.69,2.07,2.41,2.64,0.57,0.92,1.15,4.48,1.95,0
34517,-0.57,-0.46,-1.84,-0.69,-0.23,1.61,1.49,0.69,2.41,1.95,2.87,0.34,0.92,1.03,4.25,1.84,0
34634,-0.23,0.11,-1.72,-1.26,-0.23,1.72,1.61,0.46,2.64,2.76,2.41,0.23,0.23,1.15,4.25,2.30,0
34750,-0.57,0.00,-1.72,-1.15,-0.23,1.84,1.15,0.23,2.30,2.64,2.87,0.23,0.80,0.69,4.60,1.95,0
34867,-39.43,-11.38,1.26,-1.72,-201.16,20.92,20.23,1.61,-119.78,20.81,-0.57,-0.69,-5.75,0.46,-13.91,5.17,0
34984,4.02,0.69,0.57,-6.44,0.92,9.89,-0.69,-2.76,-5.98,3.45,34.60,-11.95,-7.82,7.47,12.07,-1.38,0
