time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
113910,-0.57,0.00,-1.95,-1.15,0.11,1.84,1.49,0.46,2.30,2.53,2.76,0.23,1.15,1.61,5.17,1.38,0
114027,-0.69,0.11,-1.72,-1.15,-0.11,1.84,1.72,0.57,2.41,2.41,3.45,0.23,0.57,1.15,5.29,1.84,0
114143,-0.57,0.46,-1.84,-1.26,-0.11,1.72,1.72,0.34,2.07,2.76,3.33,0.11,0.92,1.61,4.83,2.07,0
114260,-0.80,0.23,-1.95,-1.72,-0.34,1.61,1.61,0.11,2.30,2.64,2.99,0.23,1.15,1.26,5.06,1.84,0
114377,-0.57,0.23,-1.61,-1.38,-0.23,1.95,1.84,0.57,2.18,2.99,3.10,0.23,0.34,1.49,4.94,1.84,0
114494,-0.80,0.11,-1.72,-1.84,0.00,2.18,1.49,0.34,2.30,2.87,3.45,-0.11,1.03,1.49,5.29,1.72,0
114611,-1.03,0.57,-2.30,-1.38,-0.34,1.72,1.38,0.46,2.41,2.76,3.22,0.34,0.57,1.84,5.17,1.72,0
114728,-0.69,0.00,-1.84,-1.38,0.11,1.84,1.61,0.80,2.53,2.53,2.99,0.57,0.80,1.38,4.94,1.49,0
114844,-0.69,-0.34,-1.72,-1.49,-0.11,1.72,1.84,0.11,2.41,2.53,3.33,0.34,0.92,1.38,4.94,2.18,0
114961,-1.03,-0.11,-1.38,-1.38,-0.46,1.61,1.72,0.57,2.18,2.76,2.76,0.34,0.92,1.61,4.83,2.07,0
115078,-0.69,-0.34,-1.84,-1.26,-0.11,1.95,1.38,0.34,2.64,2.64,3.45,0.11,1.15,1.38,5.29,2.07,0
115195,-0.57,-0.11,-1.49,-1.72,-0.46,1.49,1.61,0.34,2.18,2.99,2.99,0.11,0.69,1.26,5.06,1.38,0
115312,-0.46,-0.23,-1.49,-1.26,-0.34,1.95,1.61,0.34,2.41,2.87,3.22,0.23,0.92,1.49,4.94,1.95,0
