time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
7833,-0.57,0.23,-1.84,-1.61,0.00,1.72,1.72,0.23,2.99,2.41,3.22,0.57,0.80,0.80,5.29,1.72,0
7950,-0.57,-0.11,-1.49,-1.38,0.23,1.95,1.72,0.92,2.53,2.30,2.87,0.34,1.03,1.26,5.06,1.49,0
8066,-0.80,0.11,-1.72,-1.49,-0.23,1.84,1.61,0.23,2.41,2.53,3.22,0.57,0.92,1.15,5.40,1.61,0
8183,-0.69,-0.34,-1.72,-1.03,0.00,1.84,1.61,0.92,3.22,2.07,3.22,0.46,1.72,0.92,5.06,2.30,0
8300,-0.34,0.34,-1.49,-1.03,-0.11,1.49,1.72,0.92,2.53,2.30,3.10,0.23,1.03,1.03,5.17,2.30,0
8417,-0.57,0.11,-1.61,-1.03,0.11,1.72,1.61,1.03,2.30,2.64,3.33,0.46,1.15,1.15,4.83,1.95,0
8534,-0.69,-0.34,-1.72,-1.26,0.00,1.72,1.61,0.46,2.30,2.07,3.33,0.46,0.92,1.38,5.29,2.07,0
8651,-0.46,0.00,-1.61,-1.15,0.23,1.61,1.49,0.69,2.53,2.30,3.45,0.34,1.38,1.03,5.17,1.84,0
8767,-0.92,-0.11,-1.72,-1.26,0.46,1.84,1.72,0.57,2.76,2.53,3.22,0.46,1.15,1.03,4.94,1.61,0
8884,-0.80,0.00,-1.61,-1.15,-0.11,1.72,2.07,0.69,2.41,2.41,3.10,0.34,0.80,1.03,5.17,1.61,0
9001,-0.46,0.00,-1.72,-1.38,-0.34,1.84,1.72,0.46,2.41,2.07,3.22,0.34,1.03,1.03,4.94,1.84,0
9118,-0.69,0.00,-1.72,-1.38,0.11,1.72,1.95,0.69,2.87,2.07,2.87,0.34,1.03,1.15,4.83,2.18,0
9235,-0.46,-0.23,-1.72,-0.92,0.23,1.38,1.49,0.80,2.53,2.07,2.53,0.69,0.69,1.49,5.17,2.18,0
9351,-0.46,0.11,-1.95,-1.03,0.11,1.72,1.84,0.92,2.99,2.41,2.99,0.46,1.15,1.38,5.06,2.07,0
9468,-0.69,-0.11,-1.49,-1.03,0.11,1.72,1.72,0.46,2.53,2.41,3.10,0.34,1.15,0.92,4.94,1.95,0
